experiment_name,models,n_models,n_features,mean_accuracy,std_accuracy,min_accuracy,max_accuracy
nn_arch1,rf+rb+stats+resnet+cnn,5,285,0.9908162066940693,0.011215877118482348,0.9694656488549618,1.0
nn_arch2,rf+rb+stats+resnet+cnn,5,285,0.9908162066940693,0.012225569049747751,0.9694656488549618,1.0
xgb_d10_eta0.1,rf+rb+stats+resnet+cnn,5,285,0.9908162066940693,0.012225569049747751,0.9694656488549618,1.0
combo_rf+rb+stats+resnet+cnn,rf+rb+stats+resnet+cnn,5,285,0.9908162066940693,0.011215877118482348,0.9694656488549618,1.0
rf_n300_d10,rf+rb+stats+resnet+cnn,5,285,0.9908044627128596,0.008916427766594836,0.9770992366412213,1.0
xgb_d10_eta0.2,rf+rb+stats+resnet+cnn,5,285,0.9907927187316501,0.007517835981912214,0.9846153846153847,1.0
xgb_d5_eta0.2,rf+rb+stats+resnet+cnn,5,285,0.9907927187316501,0.007517835981912214,0.9846153846153847,1.0
combo_rf+rb+cnn,rf+rb+cnn,3,171,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
combo_rf+rb+stats+cnn,rf+rb+stats+cnn,4,228,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
combo_rf+rb+resnet,rf+rb+resnet,3,171,0.9892777451556078,0.0133420930427445,0.9694656488549618,1.0
rf_n200_d20,rf+rb+stats+resnet+cnn,5,285,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
rf_n200_d10,rf+rb+stats+resnet+cnn,5,285,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
rf_n100_d15,rf+rb+stats+resnet+cnn,5,285,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
rf_n200_d15,rf+rb+stats+resnet+cnn,5,285,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
xgb_d7_eta0.1,rf+rb+stats+resnet+cnn,5,285,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
rf_n300_d20,rf+rb+stats+resnet+cnn,5,285,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
xgb_d10_eta0.05,rf+rb+stats+resnet+cnn,5,285,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
nn_arch4,rf+rb+stats+resnet+cnn,5,285,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
rf_n100_d10,rf+rb+stats+resnet+cnn,5,285,0.9892777451556078,0.011431280271900523,0.9694656488549618,1.0
combo_rf+rb,rf+rb,2,114,0.9892660011743981,0.009183943483490671,0.9770992366412213,1.0
xgb_d7_eta0.2,rf+rb+stats+resnet+cnn,5,285,0.9892542571931886,0.006136384706154613,0.9846153846153847,1.0
combo_rf+rb+stats,rf+rb+stats,3,171,0.9877510275983559,0.01415954043002631,0.9618320610687023,1.0
combo_rf+rb+resnet+cnn,rf+rb+resnet+cnn,4,228,0.9877392836171464,0.010351331842264704,0.9694656488549618,1.0
xgb_d5_eta0.1,rf+rb+stats+resnet+cnn,5,285,0.9877392836171464,0.011437600708275205,0.9694656488549618,1.0
rf_n300_d15,rf+rb+stats+resnet+cnn,5,285,0.9877392836171464,0.010351331842264704,0.9694656488549618,1.0
rf_n100_d20,rf+rb+stats+resnet+cnn,5,285,0.9877392836171464,0.012429293986996695,0.9694656488549618,1.0
combo_rf+rb+stats+resnet,rf+rb+stats+resnet,4,228,0.9862125660598944,0.013125200758831796,0.9618320610687023,1.0
xgb_d5_eta0.05,rf+rb+stats+resnet+cnn,5,285,0.9862008220786848,0.010127234785726441,0.9694656488549618,1.0
xgb_d7_eta0.05,rf+rb+stats+resnet+cnn,5,285,0.9862008220786848,0.010127234785726441,0.9694656488549618,1.0
nn_arch3,rf+rb+stats+resnet+cnn,5,285,0.9862008220786848,0.010127234785726441,0.9694656488549618,1.0
combo_rf+stats+cnn,rf+stats+cnn,3,171,0.9815736934820904,0.010418996442229373,0.9692307692307692,1.0
combo_rf+stats+resnet+cnn,rf+stats+resnet+cnn,4,228,0.9800469759248385,0.010386182043689613,0.9692307692307692,0.9923076923076923
combo_rf+cnn,rf+cnn,2,114,0.9800234879624192,0.007858592764405679,0.9692307692307692,0.9923076923076923
combo_rb+stats+cnn,rb+stats+cnn,3,171,0.9785554903112155,0.02010854244724603,0.9389312977099237,0.9923076923076923
combo_rb+resnet+cnn,rb+resnet+cnn,3,171,0.9770287727539635,0.023122864148366815,0.9312977099236641,0.9923076923076923
combo_rb+cnn,rb+cnn,2,114,0.9770287727539635,0.024124761647119665,0.9312977099236641,1.0
combo_rf+resnet+cnn,rf+resnet+cnn,3,171,0.9769465648854961,0.006906579335098673,0.9692307692307692,0.9847328244274809
combo_rb+stats+resnet,rb+stats+resnet,3,171,0.9755020551967117,0.0270363537408142,0.9236641221374046,1.0
combo_rf+stats,rf+stats,2,114,0.9754433352906636,0.007429161199713396,0.9618320610687023,0.9846153846153847
combo_rb+stats,rb+stats,2,114,0.9739635936582502,0.026243517800984086,0.9236641221374046,1.0
combo_rb+stats+resnet+cnn,rb+stats+resnet+cnn,4,228,0.9739518496770405,0.02187492968167889,0.9312977099236641,0.9923076923076923
combo_rb+resnet,rb+resnet,2,114,0.9663065179095713,0.03396848663130053,0.9007633587786259,0.9923076923076923
combo_rf+resnet,rf+resnet,2,114,0.9662008220786846,0.012510432738955454,0.9461538461538461,0.9846153846153847
combo_rf+stats+resnet,rf+stats+resnet,3,171,0.9646741045214329,0.007822461273789579,0.9538461538461539,0.9769230769230769
combo_stats+cnn,stats+cnn,2,114,0.9293129770992368,0.013340066779898333,0.9076923076923077,0.9465648854961832
combo_stats+resnet+cnn,stats+resnet+cnn,3,171,0.9293129770992368,0.013340066779898333,0.9076923076923077,0.9465648854961832
combo_resnet+cnn,resnet+cnn,2,114,0.9108749266001175,0.012668288654021623,0.8923076923076924,0.9312977099236641
combo_stats+resnet,stats+resnet,2,114,0.8064239577216676,0.023229541396878585,0.7769230769230769,0.8384615384615385
